what,kind,bundleId,bundleVersion,description,time
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936135835
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936135845
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936135846
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936135857
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936135868
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936135879
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936135890
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936135901
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1331936135912
error,log,,,"TableRowRule.onResizeEnd() failed: java.lang.NullPointerException",1331936136143
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331936138677
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936156293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936158241
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936158299
closed,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936158308
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331936159427
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936159928
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936159986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331936169006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331936171748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331936173652
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331936183843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331936189236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331936191025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331936194978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331936201475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331936205738
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936215124
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331936223021
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936262294
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331936265438
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1331936270374
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331936272418
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1331936272578
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331936273080
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1331936273314
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936276637
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331936283065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331936283261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331936289273
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331936343465
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331936399507
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936401706
error,log,,,"Unhandled event loop exception",1331936407668
error,log,,,"Unhandled event loop exception",1331936407680
error,log,,,"Unhandled event loop exception",1331936407705
error,log,,,"Unhandled event loop exception",1331936408167
error,log,,,"Unhandled event loop exception",1331936415275
error,log,,,"Unhandled event loop exception",1331936415277
error,log,,,"Unhandled event loop exception",1331936415301
error,log,,,"Unhandled event loop exception",1331936415752
error,log,,,"Unhandled event loop exception",1331936420534
error,log,,,"Unhandled event loop exception",1331936420536
error,log,,,"Unhandled event loop exception",1331936420553
error,log,,,"Unhandled event loop exception",1331936421214
error,log,,,"Unhandled event loop exception",1331936423753
error,log,,,"Unhandled event loop exception",1331936423755
error,log,,,"Unhandled event loop exception",1331936423757
error,log,,,"Unhandled event loop exception",1331936423777
error,log,,,"Unhandled event loop exception",1331936424525
error,log,,,"Unhandled event loop exception",1331936440840
error,log,,,"Unhandled event loop exception",1331936440842
error,log,,,"Unhandled event loop exception",1331936440844
error,log,,,"Unhandled event loop exception",1331936440849
error,log,,,"Unhandled event loop exception",1331936440851
error,log,,,"Unhandled event loop exception",1331936440855
error,log,,,"Unhandled event loop exception",1331936440861
error,log,,,"Unhandled event loop exception",1331936440866
error,log,,,"Unhandled event loop exception",1331936440869
error,log,,,"Unhandled event loop exception",1331936440873
error,log,,,"Unhandled event loop exception",1331936440878
error,log,,,"Unhandled event loop exception",1331936440880
error,log,,,"Unhandled event loop exception",1331936440884
error,log,,,"Unhandled event loop exception",1331936440890
error,log,,,"Unhandled event loop exception",1331936440896
error,log,,,"Unhandled event loop exception",1331936440898
error,log,,,"Unhandled event loop exception",1331936440901
error,log,,,"Unhandled event loop exception",1331936440916
error,log,,,"Unhandled event loop exception",1331936440917
error,log,,,"Unhandled event loop exception",1331936440983
error,log,,,"Unhandled event loop exception",1331936441318
error,log,,,"Unhandled event loop exception",1331936441323
error,log,,,"Unhandled event loop exception",1331936441494
error,log,,,"Unhandled event loop exception",1331936444586
error,log,,,"Unhandled event loop exception",1331936444588
error,log,,,"Unhandled event loop exception",1331936444590
error,log,,,"Unhandled event loop exception",1331936444596
error,log,,,"Unhandled event loop exception",1331936444598
error,log,,,"Unhandled event loop exception",1331936444603
error,log,,,"Unhandled event loop exception",1331936444668
error,log,,,"Unhandled event loop exception",1331936444676
error,log,,,"Unhandled event loop exception",1331936444677
error,log,,,"Unhandled event loop exception",1331936444681
error,log,,,"Unhandled event loop exception",1331936444687
error,log,,,"Unhandled event loop exception",1331936444688
error,log,,,"Unhandled event loop exception",1331936444692
error,log,,,"Unhandled event loop exception",1331936444699
error,log,,,"Unhandled event loop exception",1331936444705
error,log,,,"Unhandled event loop exception",1331936444707
error,log,,,"Unhandled event loop exception",1331936444711
error,log,,,"Unhandled event loop exception",1331936444726
error,log,,,"Unhandled event loop exception",1331936444727
error,log,,,"Unhandled event loop exception",1331936444810
error,log,,,"Unhandled event loop exception",1331936444998
error,log,,,"Unhandled event loop exception",1331936445000
error,log,,,"Unhandled event loop exception",1331936445301
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331936446094
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1331936465548
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936469748
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1331936507059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936507088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936508707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936509290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936512180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936512236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936533866
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331936533882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936537788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936586369
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1331936588050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936588089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936590222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936590278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936608229
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936654236
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331936673458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936688635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936758728
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1331936760086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936760115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936762001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936762514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936764905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936764964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936776224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936779643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936792541
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331936812477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331936835272
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331937593009
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331937597252
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331937600511
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331937603466
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331937606287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331937613137
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331937653766
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1331937659420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331937663040
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331937755344
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331937773119
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331937775311
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331937776342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331937784734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331937788646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331937796399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331937809555
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1331937810804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331937812221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331937861948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331937872830
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331937879914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331937885250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331937889367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331937906257
